"id","content","publishTime","sid","zan","nozan"
"49","回复楼上&hellip;可能是怕技术不好吧&hellip;&hellip;
可是&hellip;&hellip;楼主我真的好无语&hellip;&hellip;","2016-11-12 01:25:38","27","2","0"
"50","忽然想起贤者之爱那个男的说，处女不好，太难麻烦&hellip;&hellip;（一脸冷漠.jpg）","2016-11-12 01:27:00","27","1","0"
"51","厉害了我的哥","2016-11-12 01:28:03","23","1","0"
"52","之前票圈有一个段子计算春风有过八百里的时间，好像也没几天。","2016-11-12 01:30:04","19","0","0"
"53","表示心疼","2016-11-12 08:03:05","29","0","0"
"54","等着对方喜欢上自己","2016-11-12 08:05:03","28","0","0"
"55","你难道在练功？","2016-11-12 08:05:58","27","1","0"
"56","既然拒绝 无须再牵挂 等更好的人去陪伴她","2016-11-12 10:20:39","28","0","0"
"57","知道不好就不要这样啦&hellip;&hellip;","2016-11-12 12:57:41","30","0","0"
"58","自己的心事还是自己收藏。","2016-11-12 16:09:05","31","0","0"
"59","吓我一跳，一打开还以为是我发的","2016-11-12 21:22:23","31","0","0"
"60","那是说说把妹的正确姿势，","2016-11-12 23:48:08","37","0","0"
"61","那你说说把妹的正确姿势~666","2016-11-12 23:48:31","37","0","0"
"62","现在没事，早晚都要出事，早断早清净！","2016-11-12 23:54:00","36","2","0"
"63","要不要搞基？","2016-11-12 23:54:38","33","0","0"
"64","你可以把这样试试用到男的身上！","2016-11-13 00:06:16","37","0","0"
"65","你可以把这样试试用到男的身上！","2016-11-13 00:06:16","37","0","0"
"66","","2016-11-13 00:49:39","37","0","0"
"67","真爱就会关心，会担心，会在意，如果你遇到了说不定也会这样","2016-11-13 01:27:42","37","0","0"
"68","额 只能说 不分留着过年么","2016-11-13 01:33:29","36","0","0"
"69","基本没有专业会要求全A，会考有C就行，希望能帮到你","2016-11-13 10:18:45","32","0","0"
"70","主动一点，男生也需要女生主动的暗示","2016-11-13 23:17:40","43","0","0"
"71","我也是","2016-11-14 01:58:55","46","0","0"
"72","我也是","2016-11-14 01:58:55","46","1","0"
"73","无论一个人长得多么的楚楚动人还是我见尤怜，骗子就是骗子，不分性别年龄。","2016-11-14 08:55:40","47","1","0"
"74","要不要搞基？","2016-11-14 10:11:03","50","1","0"
"75","哈哈哈","2016-11-14 12:17:15","47","0","0"
"76","你完全可以活跃一点，男生不会讨厌的","2016-11-14 20:15:28","55","0","0"
"77","很正常,女生也是人也会有生理需求","2016-11-14 20:39:17","56","3","0"
"78","很正常！！！！","2016-11-14 21:42:37","56","3","0"
"79","正常&hellip;&hellip;","2016-11-14 21:58:06","56","2","0"
"80","很正常的啊！！！！","2016-11-14 22:48:47","56","2","0"
"81","没有搞基啊...","2016-11-14 22:53:19","50","0","0"
"82","我和你一样，也因为这个错过了一个男生，我觉得你还是要努力在他面前表现的自然一点，这样他也会更放松。你表现的紧张他也会觉得很紧张","2016-11-14 23:07:15","55","0","0"
"83","哪种片子","2016-11-15 00:24:28","56","1","0"
"84","啊啊啊～我也超喜欢这首歌","2016-11-15 20:01:27","66","0","0"
"85","&hellip;&hellip;so what?","2016-11-15 20:02:29","56","0","0"
"86","捅吧ˊ_&gt;ˋ捷足先登与否和你没有关系的","2016-11-15 23:07:12","66","0","0"
"87","你只是需要换个人w","2016-11-15 23:11:35","59","1","0"
"88","被描述萌到了！！","2016-11-15 23:12:30","72","0","0"
"89","正常
你看到父母心里会怪怪的吗？
入门可手动搜索女性向xx
只能帮你到这了","2016-11-15 23:16:30","56","0","0"
"90","分手吧你的男朋友值得更好的","2016-11-15 23:18:46","49","1","0"
"91","我也很烦欠着别人东西或者别人欠我东西，所以我如果要借别人东西肯定是做好了不要的准备，（因为真的有人会弄丢我的东西），要么就不借。","2016-11-15 23:44:06","69","0","0"
"92","爱好运动和逗比的妹子不少，比如这里就有一个 有责任心的男生不多，而你就是一个，所以，不用着急，缘分到了，一切都是好的！祝好运！","2016-11-16 00:44:58","63","0","0"
"93","你妈其实是想你了！","2016-11-16 13:16:59","74","2","0"
"94","我的天，你这是通吃啊！厉害啊！","2016-11-16 13:18:06","73","0","0"
"95","想太多了！不想借就不借","2016-11-16 13:19:20","69","0","0"
"96","要不要搞基？","2016-11-16 13:20:12","63","0","0"
"97","要不要搞基？","2016-11-16 13:20:13","63","0","0"
"98","我每次路过湖边都想推他们一把！","2016-11-16 13:21:07","61","0","0"
"99","啊&hellip;&hellip;我最近也面临这种情况。我以前真的是一个睡眠质量超级好的人，最近因为睡眠质量不好常常头疼。我和宿舍其他两个室友关系都不错，只是我非常不想鸟那个影响我睡觉的人，但还是笑脸相迎没有表现出我对她的反感。改变不了别人就努力调整自己吧。
我觉得首先你可以买个遮光很好的窗帘，自己有一个独立的小空间，心理上会舒服一点。
其次，你可以建议寝室开个会，建议大家熄灯之前把洗澡洗漱这样的事情完成，其他事情尽量声音小些。然后再问问大家你早上会不会吵到她们，表现出你协商的诚意。开会时语气尽可能客气和委婉但是态度要坚决。
再者，关于孤立的问题，是不是你很少在宿舍，所以其他室友怕耽误你时间所以就没有找你聊很多。我觉得这个事情看你自己衡量，如果你觉得比较习惯自己做自己的事情，不希望总被打扰（我就是这样），那你可以选择早出晚归，和室友保持和谐的关系就好；如果你比较渴望和室友打成一片或者很不喜欢自己插不上话的感觉，那就多在宿舍待着，多和室友沟通聊聊八卦什么的。但有一点，如果你是选择早出晚归，也不要因此给自己借口冷落宿舍（不打扫宿舍公共卫生什么的），同时也可以在回宿舍的路上买点吃的大家一起分享。我个人还是觉得在宿舍待的时间多不多并不必然影响和室友之间的关系。关键是你有没有把室友放在心里。多些心眼，多些心意，我相信这样以后室友也不会因为你的早出晚归而冷落你，反而能够理解你。
最后，无论如何，不到万不得已都不要打破宿舍的和睦（哪怕只是表面的和睦），多些包容和理解吧，多想想是不是自己哪里也有做的不好的地方。可能你在生室友气的同时她也在生你气呢。沟通是最好解决问题的办法，但是沟通又是一件很困难的事情。加油   ","2016-11-16 15:44:13","77","0","0"
"100","啊&hellip;&hellip;我最近也面临这种情况。我以前真的是一个睡眠质量超级好的人，最近因为睡眠质量不好常常头疼。我和宿舍其他两个室友关系都不错，只是我非常不想鸟那个影响我睡觉的人，但还是笑脸相迎没有表现出我对她的反感。改变不了别人就努力调整自己吧。
我觉得首先你可以买个遮光很好的窗帘，自己有一个独立的小空间，心理上会舒服一点。
其次，你可以建议寝室开个会，建议大家熄灯之前把洗澡洗漱这样的事情完成，其他事情尽量声音小些。然后再问问大家你早上会不会吵到她们，表现出你协商的诚意。开会时语气尽可能客气和委婉但是态度要坚决。
再者，关于孤立的问题，是不是你很少在宿舍，所以其他室友怕耽误你时间所以就没有找你聊很多。我觉得这个事情看你自己衡量，如果你觉得比较习惯自己做自己的事情，不希望总被打扰（我就是这样），那你可以选择早出晚归，和室友保持和谐的关系就好；如果你比较渴望和室友打成一片或者很不喜欢自己插不上话的感觉，那就多在宿舍待着，多和室友沟通聊聊八卦什么的。但有一点，如果你是选择早出晚归，也不要因此给自己借口冷落宿舍（不打扫宿舍公共卫生什么的），同时也可以在回宿舍的路上买点吃的大家一起分享。我个人还是觉得在宿舍待的时间多不多并不必然影响和室友之间的关系。关键是你有没有把室友放在心里。多些心眼，多些心意，我相信这样以后室友也不会因为你的早出晚归而冷落你，反而能够理解你。
最后，无论如何，不到万不得已都不要打破宿舍的和睦（哪怕只是表面的和睦），多些包容和理解吧，多想想是不是自己哪里也有做的不好的地方。可能你在生室友气的同时她也在生你气呢。沟通是最好解决问题的办法，但是沟通又是一件很困难的事情。加油   ","2016-11-16 15:44:13","77","0","0"
"101","啊&hellip;&hellip;我最近也面临这种情况。我以前真的是一个睡眠质量超级好的人，最近因为睡眠质量不好常常头疼。我和宿舍其他两个室友关系都不错，只是我非常不想鸟那个影响我睡觉的人，但还是笑脸相迎没有表现出我对她的反感。改变不了别人就努力调整自己吧。
我觉得首先你可以买个遮光很好的窗帘，自己有一个独立的小空间，心理上会舒服一点。
其次，你可以建议寝室开个会，建议大家熄灯之前把洗澡洗漱这样的事情完成，其他事情尽量声音小些。然后再问问大家你早上会不会吵到她们，表现出你协商的诚意。开会时语气尽可能客气和委婉但是态度要坚决。
再者，关于孤立的问题，是不是你很少在宿舍，所以其他室友怕耽误你时间所以就没有找你聊很多。我觉得这个事情看你自己衡量，如果你觉得比较习惯自己做自己的事情，不希望总被打扰（我就是这样），那你可以选择早出晚归，和室友保持和谐的关系就好；如果你比较渴望和室友打成一片或者很不喜欢自己插不上话的感觉，那就多在宿舍待着，多和室友沟通聊聊八卦什么的。但有一点，如果你是选择早出晚归，也不要因此给自己借口冷落宿舍（不打扫宿舍公共卫生什么的），同时也可以在回宿舍的路上买点吃的大家一起分享。我个人还是觉得在宿舍待的时间多不多并不必然影响和室友之间的关系。关键是你有没有把室友放在心里。多些心眼，多些心意，我相信这样以后室友也不会因为你的早出晚归而冷落你，反而能够理解你。
最后，无论如何，不到万不得已都不要打破宿舍的和睦（哪怕只是表面的和睦），多些包容和理解吧，多想想是不是自己哪里也有做的不好的地方。可能你在生室友气的同时她也在生你气呢。沟通是最好解决问题的办法，但是沟通又是一件很困难的事情。加油   ","2016-11-16 15:44:15","77","0","0"
"102","先要清楚对方是不是一个借了不还的人。推迟还当然不对，但也可能只是对方有困难，真的要过几天才能还你。如果ta是一个借了钱不还的人，那你就不应该再借钱给ta","2016-11-16 17:16:40","69","0","0"
"103","发生了一些事之后 一点也不相信能轻易有纯友谊了","2016-11-16 20:53:20","75","0","0"
"104","我只知道男生之间的友谊都不纯洁了&hellip;&hellip;","2016-11-16 22:08:57","82","0","0"
"105","明灯摇轻风，相思人相送。钩月点星盘，无欲夜无穷。
北二图书馆对坐的妹子，谢谢给我每天的好心情","2016-11-17 11:57:26","87","0","0"
"106","果断退，大把时间去企业实习比挣扎在一个没前景的协会强百倍~2333","2016-11-17 20:16:24","89","0","0"
"107","只要你想你就能把玩烂的人生重新翻盘！
鸡汤呈上！
放轻松，还没有到最坏的地步，你的人生可能会更坏的。
毒鸡汤呈上。
你交一些朋友吧，让他们多夸夸你。或者自己多夸夸自己。","2016-11-19 00:03:21","101","0","0"
"108","+1:
致我爱的你，希望你看到又不希望你看到","2016-11-19 13:15:58","91","0","0"
"109","当然是要改变成更好的自己，虽然可能要付出一些努力，但最终受益的还是你自己！别信别人说的坚持自己。你想想，要是你从小就坚持自己不愿改变，那现在的你还能有这么优秀吗？但要记住！改变不是迁就！","2016-11-19 16:37:28","104","0","0"
"110","标准的北二水平","2016-11-19 20:09:40","112","0","0"
"111","要一起喝杯茶吗？朋友","2016-11-20 16:00:01","113","0","0"
"112","创新做法！七成熟哦！","2016-11-20 16:00:43","112","0","0"
"113","你确定是他？不是她？","2016-11-20 16:01:36","109","0","0"
"114","要一起泡泡图书馆吗？","2016-11-20 16:02:14","108","0","0"
"115","琼瑶剧啊！精彩","2016-11-20 16:03:17","105","0","0"
"116","神经病啊！你找的是男朋友不是老爸","2016-11-20 16:04:06","104","0","0"
"117","要不我们是试试！？","2016-11-20 16:05:10","103","0","0"
"118","跑不了路^_^","2016-11-20 18:19:00","113","0","0"
"119","想知道如何才能在书桌前做个安静的少年？认真脸","2016-11-20 22:42:29","102","0","0"
"120","好聚好散","2016-11-21 00:23:01","115","0","0"
"121","2333.咱差不多","2016-11-21 00:25:20","101","0","0"
"122","说出来你可能不信，我挺喜欢在宾馆玩飞行棋的","2016-11-21 08:02:49","116","0","0"
"123","你这么敏感，要求绝对无声，现实吗？这个样子，估计换多几个宿舍也满足不了你的要求吧，问题出在你自己身上","2016-11-21 12:08:12","119","0","0"
"124","我们原谅你了，下次注意","2016-11-21 13:54:22","118","0","0"
"125","在一起吧（（","2016-11-21 19:06:18","121","0","0"
"126","心疼，找你舍友带你再和她来次双飞吧","2016-11-21 19:10:04","117","0","0"
"127","分手了就别纠缠啦，会遇到下一个的","2016-11-21 20:27:31","122","0","0"
"128","嗯，没错。我就是前几天的那个d。这事发生在我那天发悄悄话之后，十一点二十我已经在床上了，她开了洗衣机进去洗澡。因为洗衣机会洗一个小时，所以我下床去关掉了。她洗完澡出来发现关了又开了。我就坐起来说能不能暂停，明天早上再开。她没关说不能泡一个晚上吧。然后我就自己下去关掉了。想想都觉得好气，为什么就不能换位思考呢???我觉得吧，有些人，读了几年书，文化素养再高，道德素养也是很低的。我不知道她的性格是不是父母宠的，所以才会那么自私。但是大家都是父母的心肝宝贝呀！为什么有些人那么自私。自己打扰别人休息可以，但是别人就不行。从来就不会换位思考。","2016-11-21 22:31:18","120","1","0"
"129","我以前也是这样&hellip;&hellip;高中有一段时间每次我下了晚修回到家我姐夫才去洗澡，明明他比我早回到家，偏偏非得要我回到家才霸占浴室。那段时间真的想发火的！！","2016-11-21 23:59:03","126","0","0"
"130","你有事十点多才回宿舍，你室友也不是说就一直故意闲到十点多才洗澡啊，不要把别人想的都那么坏，洗澡这东西少则几分钟多则二十几分钟，随便做些什么不都能过去么。真的不要把别人想的很心机，说不好听的，都是你自己小心眼而已。","2016-11-22 10:37:53","126","1","0"
"131","我是斗地主","2016-11-22 22:30:13","116","0","0"
"132","66666","2016-11-23 09:57:05","124","0","0"
"133","可能人家是在分手罢了，别想得这么美好&hellip;&hellip;","2016-11-24 16:58:20","153","0","0"
"134","同，唯一人独处时最自由自在","2016-11-25 00:43:36","144","0","0"
"135","也许她抑郁不是因为你呢？(⊙o⊙)","2016-11-25 01:07:43","158","1","0"
"136","这样会让被删掉号的妹子很尴尬的^W^，不过悄主开心就好^W^，祝你早日脱单～","2016-11-25 01:12:17","158","1","0"
"137","。。。我觉得既然好不容易交到女朋友，请她室友吃一下饭也是应该的吧。。让她们平常多替你说说好话啊","2016-11-25 21:51:03","143","0","0"
"138","爱情总是让人脑子进水","2016-11-25 23:44:40","153","0","0"
"139","+1","2016-11-26 00:01:22","160","0","0"
"140","我不是","2016-11-26 01:23:55","160","0","0"
"141","喜欢又不是爱","2016-11-26 09:26:12","166","0","0"
"142","好闲，我也好闲，竟然看这个","2016-11-26 18:34:28","185","0","0"
"143","心疼你","2016-11-27 19:28:13","174","0","0"
"144","爱情是平等的，一方一味地妥协结局只会让另一方不懂得珍惜。","2016-11-28 17:17:42","209","0","0"
"145","有喜欢的人，并且那个人可能喜欢你？！这样的人生可没有几个！希望悄主好好把握这段感情。加油。","2016-11-29 00:40:22","214","1","0"
"146","你应该问自己介不介意另一半的身高！！！！","2016-11-29 20:21:53","222","1","0"
"147","从男生角度来看，一般男生会主动去认识接近一个女生，都会怀有某种目的（你该了解吧），你会回应他们，对他们来说就意味着某种信号，起码你是不拒绝的。而你却不想着有下一步，起码现阶段不愿意。而美丑，实话实说，男的哪个不喜欢漂亮的，虽然不说绝对，应该在男生心里占很大分数，除非女生有其他方面很完美，让男生可以忽略容貌不记。女生也会有自己的评判标准吧，该你们自己衡量。","2016-11-29 21:28:48","217","0","0"
"148","我175&hellip;&hellip;对160-180的都可以啊 ","2016-11-29 22:50:15","222","1","0"
"149","哈哈，你很优秀","2016-11-29 23:33:37","222","0","0"
"150","人矮不可怕，人丑八怪，可怕","2016-11-30 00:06:59","212","0","0"
"151","打错字了，人矮不可怕人丑才可怕","2016-11-30 00:07:32","212","0","0"
"152","不分主次，不懂体谅的男生不要也罢吧","2016-11-30 01:44:42","213","1","0"
"153","远离他，抹去有关他的一切","2016-11-30 01:46:28","206","0","0"
"154","人家都这样了你还不接受 你是不是傻？
最近几天找个机会给她制造个surprise然后向她告白 不然你等着后悔吧","2016-11-30 08:37:01","224","0","0"
"155","大四狗给你点建议吧，心情不好就找事做不去想令你不开心的事，身体不好就多运动吃好喝好睡好，学习跟不上就多下工夫做练习可以多请教同学和师兄师姐。","2016-11-30 09:43:08","227","0","0"
"156","我们这些小个子女生....多么希望长身高！！！！长得高穿什么都好看啊！！唉！","2016-11-30 10:33:12","222","0","0"
"157","你不够自信啊，喜欢就主动啊，那么傻逼啊","2016-11-30 14:00:39","225","0","0"
"158","哈哈，各人口味","2016-11-30 14:01:38","222","0","0"
"159","看值不值得","2016-11-30 14:02:36","206","0","0"
"160","感觉可能那个人对你不够细心和关爱吧，不然也不会不在乎你的想法","2016-11-30 14:06:39","209","0","0"
"161","我觉得客厅撩一下他，找找话题聊，你喜欢他又不想主动，人家哪会自动找上门呢，你得自己主动主动啊，等到有话题了，就出去浪","2016-11-30 14:21:32","216","0","0"
"162","可以尝试一下的，这样就没有错过也没有遗憾了，不管结果怎么样，走过就够了啊，因为你都没把他放在人生规划里，就是只是喜欢而已，那就谈谈恋爱咯","2016-11-30 14:24:09","214","1","0"
"163","值得就去追，没遗憾就好","2016-11-30 14:26:09","206","0","0"
"164","其实我觉得女孩子跟男孩子的喜欢进度是不一样的，你喜欢她，她或许对你有好感，等你真正爱上她了，她或许就喜欢你了","2016-11-30 14:31:39","233","0","0"
"165","女生156飘过，人家都说我矮所以没男票，但是我觉得妹纸你还是要自信一点呀，虽然不高，但是只有努力锻炼自己，还可以做一个美丽的有魅力的妹纸哒，来自一个单身20年但是很乐观的女生！","2016-11-30 16:25:42","212","0","0"
"166","为什么所有女孩子都喜欢帅气的男生，不了解对方，不进行思想交流，就想进一步发展呢？什么鬼啊","2016-11-30 17:38:03","234","0","0"
"167","外表决定了想不想认识  想不想了解  了解之后才能决定会不会进一步发展啊","2016-11-30 17:54:37","234","0","0"
"168","你要知道  几乎所有人的圈子都足够大到可以找到一个可以让自己为之倾心的异性朋友的  交际花就另说了  比如华工，很多工科学院的男生真的圈子太小了  不大的圈子里还几乎都是男生  所以  不是所有抱这种希望去交友的人都是渣啊","2016-11-30 17:58:32","229","3","0"
"169","更正一下。。。第一句写错了  应该是很多很多人的圈子都不可能大到","2016-11-30 17:59:37","229","3","0"
"170","老哥。。。。","2016-11-30 18:10:09","228","2","0"
"171","老哥。。。","2016-11-30 18:16:48","228","0","0"
"172","看都看不顺眼还怎么发展我的哥","2016-11-30 18:19:18","234","0","0"
"173","嗯，你喜欢人家，应该是这样的","2016-11-30 20:39:37","240","1","0"
"174","大概是  至少不讨厌你","2016-11-30 21:35:19","240","1","0"
"175","你已经有这种疑问了 反正我是劝分。","2016-11-30 21:36:17","238","0","0"
"176","青春 疯狂一把","2016-11-30 22:42:03","240","0","0"
"177","比如我约女生看电影有时就只是单纯的想看电影","2016-11-30 23:00:26","240","2","0"
"178","不知道不知道，老老实实看电影吧大妹子","2016-11-30 23:07:02","240","0","0"
"179","女生还是要慎重一下，想好了可以疯狂一下","2016-11-30 23:13:56","240","0","0"
"180","楼上说的很对，理工男圈子太小，通过网络扩大圈子，然后再现实中发展，也没什么不妥，你可能不知道这种一个班就2个女生的痛苦","2016-12-01 00:00:14","229","0","0"
"181","看他尊不尊重你，会不会强制你做你不愿意做的事","2016-12-01 15:16:08","245","0","0"
"182","希望你能早日找到","2016-12-01 15:17:42","239","0","0"
"183","男票就是要给你依靠的啊，为什么怕他躲着你啊，而且这种事，不应该是男票帮你解决吗","2016-12-01 15:23:26","227","0","0"
"184","爱你爱到玩（弄）死你&hellip;&hellip;","2016-12-01 17:37:24","245","0","0"
"185","不觉得，不够爱，还是好好审核这个感情吧","2016-12-01 18:00:58","238","0","0"
"186","坚强。","2016-12-01 22:47:44","244","0","0"
"187","可能他已经崩溃了？尽量出去学习吧，哪怕没有吵闹的舍友，宿舍也不是学习的地方。","2016-12-01 22:48:40","243","0","0"
"188","ky居然有女朋友系列&hellip;&hellip;各位妹子不要在垃圾桶捡男朋友啊","2016-12-02 00:08:38","238","0","0"
"189","绝交了吧，目测渣男一枚","2016-12-02 08:12:01","251","0","0"
"190","你也是逆天了，同学","2016-12-02 08:13:51","249","0","0"
"191","为爱一个人付出是幸福的&hellip;你这么问我怀疑你根本就不爱他，你只是想得到他拥有它，投资他","2016-12-02 08:17:49","245","0","0"
"192","女生主动往往吃亏～矜持点才是上策，万一成了还可以做女王大人而不是女仆","2016-12-02 08:20:41","240","0","0"
"193","卧槽&hellip;这种男朋友怎么存活在世界上的，我都强过他","2016-12-02 08:22:46","238","0","0"
"194","奶茶婊而已，满大街都是，何必惊讶","2016-12-02 08:24:23","235","0","0"
"195","杨永信在颤抖","2016-12-02 08:29:30","229","0","0"
"196","厉害了word哥，祝你早日啪啪啪","2016-12-02 08:32:45","228","0","0"
"197","戳中～高大的妹子抱起来都不爽，还是娇小玲珑的好","2016-12-02 08:35:07","222","0","0"
"198","只要心中清楚自己想要的，不至于偏执而强迫自己去变成喜欢，感觉去了解人家也没什么。感觉感情也不是你合适他就行的，现在看来他是不适合你的。","2016-12-02 09:22:21","251","0","0"
"199","一般还好，只是你要为找工作做准备，每个学期有个招聘期要看好。祝过。","2016-12-02 09:26:25","249","0","0"
"200","没意味着很特别吧。但如果是我，只会给特别好的朋友或者男朋友织围巾～买围巾的话，难道不是纯粹适合这个季节的实用的礼物","2016-12-02 09:36:28","252","1","0"
"201","买东西不算什么，真的不算。这样爱打击自己的男朋友，真的早分比较好。我有类似的经历，实在是太痛苦了。长久下去，不知不觉失去自信，就更难逃脱出来了。精神上的暴力也是暴力。","2016-12-02 10:02:20","238","0","0"
"202","苦海无边回头是岸","2016-12-02 18:26:19","264","0","0"
"203","少年，你可以在大四上就跟公司签合同。。","2016-12-02 20:13:18","249","0","0"
"204","对女生都好的不就成了男闺密？","2016-12-02 20:15:30","264","0","0"
"205","可是就怕始终坚信日久生情的人突然一见钟情了一个人，然后还无法自拔","2016-12-02 22:47:16","232","0","0"
"206","我一室友，我们宿舍晚上她不准开灯，说什么开着好热...然后每次她不在我开灯，她一回来就关掉，就算我是开灯为了拿针缝衣服，二话不说就直接关灯，也不管其他室友没开台灯，可是其他室友心宽...这都没说啥..还有就是大冬天的，我在靠阳台门的位子，不让我们关门，说她觉得闷，可是我还觉得冷啊！我晚上睡觉前关了门，早上会被冷醒！因为她晚睡会趁我睡着开了门...跟她说她不让说把窗帘拉开挡就好...还有不能忍的是晚上老是开语音打游戏，大声喊大声笑，我试过十二点多喊她小声点，喊了几次她都装作戴着耳机听不到...平时也就算了，临近期末考试更频繁，吵的我只能每天在图书馆冻...很想撕，可是另外两个室友心宽什么都不说，女生间翻了脸也是很尴尬的事情...所以我也好烦啊！","2016-12-02 22:50:31","266","0","0"
"207","感觉每个宿舍都有一个这样的人","2016-12-03 00:40:12","266","0","0"
"208","表白被拒绝，你会不会不理她？","2016-12-03 00:59:29","263","0","0"
