"id","gender","grade","content","award","publishTime"
"43","女生","大四","灯神啊灯神，我是大四的可爱姐姐，昨天在天河客运站捡了只小公猫，特别粘人，大概刚一个月大，还处于经常踩奶吧咂嘴的年纪，刚洗过澡，身体会经常发出咕噜咕噜的声音,因为我马上要回深圳，不方便带上它。求一个有爱心的朋友收养它，有一些猫砂猫粮送，还送猫砂盆猫铲猫薄荷。","送养猫的方法，还可加微信成为好朋友","2016-11-11 00:17:29"
"44","男生","大四","灯神啊灯神，我想找个人陪她一起吃饭，一起看电影，一起旅行","","2016-11-11 00:38:24"
"45","女生","大三","灯神啊灯神，我是隔壁学校大三的学生，想找一位会拍照的帅哥美女帮忙抽空拍一下照，因为宝宝11月19日要拍毕业照@_@","一顿饭或私下协商都OK啦","2016-11-11 00:59:16"
"46","女生","大四","普通的广美的妹子，喜欢理科男，只可惜我身边的男生弯的就是略弯的~~~我就是喜欢直男~~~","","2016-11-11 08:06:39"
"47","女生","大四","灯灯~想找个人带我逛逛华工，有点路痴，一直好奇理科学校长什么样，说说华工的故事，作为一个艺术生，再不去看看就没机会了~我没有外貌协会，也希望外貌协会勿扰~","请你喝东西~","2016-11-11 08:30:14"
"48","女生","大一","灯神呀，我是16新传的妹子一枚，想要成为学霸，但高数太让我痛苦。求高数大神帮忙带飞。在题目上遇到困难可以询问就好了～汉子可以，妹子也可以～","你将会收获一个非常有意思的朋友，平时无聊时可以聊天、吐槽，也可以约着一起出来玩～或者你有什么愿望可以告诉我，我一定尽力帮你实现～","2016-11-11 08:57:24"
"49","男生","大四","灯神啊灯神，我刚开了一家网店，想请人来这里逛逛啊","给你打折呗 ","2016-11-11 09:24:31"
"50","女生","大二","灯灯啊，今天是双十一男生节，剁手节，光棍节，还是我的阴历阳历合在一起的生日噻~我想找跟我同一天生日的孩子（不管是农历10.12,还是新历11.11），来加我好友吖，我们可以建群抱团玩耍取暖共赴剁手不归路啊~","一个跟你同月同日生的朋友辣~","2016-11-11 10:00:36"
"51","女生","大四","谁要去12.3李健深圳演唱会？目前我们已经有两个人了，求更多志同道合的小伙伴一起去~","同喜欢李健的听友","2016-11-11 10:09:31"
"52","女生","大三","求学霸带我去泡馆！","都行","2016-11-11 10:27:28"
"53","男生","大三","灯神啊灯神，我是一个可爱的人，梦想是走遍大千世界的美好，希望找一个同样可爱的人，相伴直到爱琴海。","","2016-11-11 10:32:02"
"54","男生","大四","灯神啊灯神，我是一名大四狗，想去看明天的新生代决赛，还没去看过，马上就要毕业了，不想留下遗憾，想要周六晚新生代决赛门票，必有重谢","一顿饭，或者红包","2016-11-11 10:38:31"
"55","女生","大三","灯神啊灯神，今天早上，也就是11.11的早上，我在北四宿舍楼门口捡到一块手表，失主快来领咯","手表","2016-11-11 12:24:47"
"56","男生","大四","bbt治愈系上有一个叫野比大熊","我把这个治愈系的活动传递下去","2016-11-11 12:32:48"
"57","女生","大四","灯灯，我是南校的，超级想找个小伙伴(最好是女生，男生也不介意吧)天天泡健身房，虽然说一个人可以走的很快，但是一群人可以走得更长！地点是广药那边那个健身房，有毅力的同学，我找你很久了，我们相互鼓励，坚持健身，keep fit啦","更美腻的自己啦","2016-11-11 13:51:42"
"58","男生","研究生","希望有人能在冷雨夜给我一个紧紧的拥抱&hellip;&hellip;","一个贴心真诚不计较的朋友","2016-11-11 14:27:48"
"59","男生","大一","灯神啊灯神，11月9号那天，18:45左右南校A1跟图书馆之间的那条路上，有一个穿卫衣戴卫衣帽子的女孩，正在往天桥方向走，她不高，好像也没戴眼镜（那时候赶着上课没看清楚，只对视了几秒），我的有缘人，看到请联系我哦～","想请你吃个饭认识一下","2016-11-11 14:31:24"
"60","男生","大三","还差一个队友，需要一个大三的，主要负责编程的朋友打今年美赛，希望至少是今年国赛成绩省一或国二的，戳我私聊。","☝️","2016-11-11 14:35:38"
"61","男生","大三","万能的灯神，我是电院大三的，希望找一个英语比较好的人一起参加美赛，已有两个队友，都是很努力的，希望有兴趣的同学联系我哈。","一起拿奖一起奋斗，所获两个好队友","2016-11-11 16:16:08"
"62","女生","研究生","亲爱的小灯神，我又来了。我是一名北校研究生，现在由于老师项目问题，需要收集一些从广州往返的车票或机票，可爱的小伙伴们，谁能帮帮我。","你说，只要我能办到的","2016-11-11 16:33:38"
"63","男生","大三","灯神啊灯神，我想问下在这普天同庆的日子里有没有人出售小电驴，价格要看电驴的具体状况啦(&bull;̀&omega;&bull;́)✧","除了钱，还可以送几只单身狗给你","2016-11-11 17:28:36"
"64","男生","大一","能够聊人生聊电影想找人倾诉的时候可以找到的异性好朋友","想找人看电影的时候可以找，想倾诉的时候可以聊人生，当然你要撩帅哥我可以当僚机","2016-11-11 18:01:05"
"65","女生",\N,"我想听华工人唱校歌 ","私下协商","2016-11-11 18:01:45"
"66","男生",\N,"我是一个内向的大个子，希望遇到活泼开朗可爱的她来一起走过美丽的路","","2016-11-11 18:01:46"
"67","男生",\N,"灯神呀，我希望找到一个懂我理解我的人","","2016-11-11 18:14:38"
"68","女生","大一","أهلا وسهلا，我想找找我的男朋友，因为我想和他一起蹭节课一起吃饭","如果有人帮我的话，我可以请吃麻辣烫","2016-11-11 18:18:09"
"69","女生","大一","灯神呀灯神，我想求一个乒乓球横拍大神能陪我练乒乓球！给我喂球！！时间是每周周一周五周六！感谢灯神，感谢大神！","私下协商，力所能及","2016-11-11 18:25:06"
"70","男生",\N,"不知道有没有人呢？","红包","2016-11-11 19:19:05"
"71","男生",\N,"不知道有没有人呢？","红包","2016-11-11 19:19:05"
"72","女生","大二","啊啦啦~十九岁了，我是继续吃我的狗粮呢","我想要有人写给我一张明信片&hellip;&hellip;","2016-11-11 20:38:51"
"73","男生","大一","灯神啊我想买一把入门吉他（最好是卡玛啦），下周就要用了，淘宝的话双十一不知道啥时才能到呢。最后如果还能小小地教我一下下啦。","当然是money啦，如果可以的话还能交个朋友哦","2016-11-11 20:45:36"
"74","男生","大二","灯神啊灯神，我的订书机落在23号楼406内室弦音计实验台了，是一个橘色的小订书机。如果有人看到可以帮我拿回来吗，我找不到了，我会报答你的","一顿饭，或者成为朋友","2016-11-11 22:28:23"
"75","女生","大一","灯神啊灯神～我的日语学习便纸不见了～正面打印写着（日语五十音图），背面打印写着很多（日语日常用语），于11月11号在（华工）和（五山）路段丢失，请各位好心人看到它的联系我啊！！！我好伤心啊！！谢谢！！（备注：它是我专业老师送我的，对我而言意义重大）","我请你喝糖水！！加辣条！！或者其他你想吃的我尽量！！","2016-11-11 22:29:12"
"76","男生","大一","   想找个一块泡图书馆，一块跑步的朋友，亦或是女票也好，喜欢一点点篮球就最好了，绝对诚心，，，。。。有意就＋c090416123吧","","2016-11-11 22:33:08"
"77","男生","大一","灯神啊灯神，帮我告诉华农一个叫巴塞的女孩，说华工有个傻子喜欢她很久了！","一首歌","2016-11-11 22:58:10"
"78","男生",\N,"灯灯，我想在这里找一位唱《不要说话》好听的女生，我想请她帮忙再唱一次给个朋友，谢谢！","这个详情私下聊。。。","2016-11-11 23:03:50"
"79","男生",\N,"灯神啊灯神，我是专业的摄影师，在大理拍过日出，在香格里拉拍过草原，在厦门拍过沙滩。希望认识也在大学城的小伙伴一起外拍。同时也是资深吃货。短期内有计划旅游，希望可以结伴同行~","","2016-11-11 23:04:02"
"80","男生","研究生","灯神，我们约了下周一（14号）去长隆玩的票，结果票多定了一张，想问问有没有同学周一想去的，可以折价转让，最好是妹纸","一起去玩","2016-11-11 23:52:51"
"81","男生","大四","我大四了，想在毕业前认识一个她，我应该算是一个比较有趣的人，如果你的生活缺乏一点色彩，或许我会合适。","","2016-11-12 00:12:42"
"82","男生","大四","我是一个有趣的人，现在大四了，想要在毕业前认识一个她，所以，如果你的生活缺乏一点色彩，请来找我吧！","","2016-11-12 00:20:12"
"83","男生","大四","在一次妇委组织的化妆培训活动，有个叫某纯的同学(貌似礼仪队队长)，谁能告诉我她微信，多谢！！","私下协商","2016-11-12 02:01:15"
"84","男生","大三","各位有想做家教的吗","有钱收的","2016-11-12 02:14:29"
"85","男生","研究生","灯灯，我来自广东粤东区域，粤语讲的不是很好，现在在练习讲粤语，想同滴粤语讲得好的同学仔倾噶～","华工饭堂的一顿饭","2016-11-12 08:10:28"
"86","女生","大四","灯神啊，我是大四女生，要毕业工作难找，开了淘宝店，想请同学们有空看看呗（千万别进来）是店铺名，谢谢啦 ","如果生意好的话，我请你们吃饭啊，我可是个大美女哦","2016-11-12 08:26:16"
"87","女生","大四","灯神啊灯神，我是大四已保研的女生，求一名懂kinect开发的同学带带我！","一个科研路上的好伙伴(✪▽✪)","2016-11-12 09:00:43"
"88","男生","大一","我是个喜欢看韩国跳舞现场的男生（但我并不喜欢韩国），一直想尝试学习韩舞，有朋友有组织在搞这个或者排练节目可以找我啊","有个相同兴趣的朋友？","2016-11-12 09:29:25"
"89","男生","研究生","那啥，作为海贼迷看到海贼王电影上线了，趁着周末寻小伙伴组队去看","请你看电影or请你吃爆米花外加一个海迷小伙伴","2016-11-12 09:52:04"
"90","女生","研究生","亲爱的小灯神✺◟(&lowast;❛ัᴗ❛ั&lowast;)◞✺我想找人每周末陪我玩～逛街吃东西旅游等等～因为周末实在太无聊啦(●&mdash;●)就算漫无目的的在外面走我也是很开心的✪&omega;✪我是研一女生，实现愿望的人男女不限哦～","一起收获快乐(๑&bull; . &bull;๑)","2016-11-12 11:30:08"
"91","女生","大一","想找人一起去白云山蹦极  啦啦啦 因为舍友她们都不敢蹦 女生喜欢蹦极的可以约哦 男生也欢迎呐 几个人无所谓","男生的话我可以把我舍友送给你 
女生的话想吃什么尽管说 也可以陪你去玩 如果你要舍友的话也可以 囧","2016-11-12 13:08:32"
"92","男生","大四","灯神啊灯神，我是华工北校的大四男生，在卡姿兰集团的笔试和综合面试都遇到了一位女生，因为面试安排紧，只跟她说了30s的话，没来得及要联系方式，sad&hellip;特征是&hellip;大眼睛！！！无印良品饭！！！信息比较少，可能很难找到哦，但还是想试一试，看缘混！希望能找到你，MUJI Lady~","一顿饭或者一首歌（自我感觉唱歌很好听哦嘿嘿）","2016-11-12 13:41:29"
"93","女生","大二","神灯啊，神灯我爱上打羽毛球了，但没人和我打&hellip;&hellip;","一顿早餐","2016-11-12 13:59:39"
"94","男生","大二","灯神啊灯神，我求一个会撩妹的大神，最近喜欢上了一个妹子，但是不是一个学院，平时交集基本没有，不知道怎么撩，感觉自己好笨求大神教教我。","一个朋友附带一顿饭。","2016-11-12 14:05:18"
"95","女生","大二","灯神啊灯神......（认真脸）想要在西区校园价旁边开个水果店，开一个价廉物美的水果店，校园价的水果简直暴利，而且还不标价，好想念南校的水果店啊","嘻嘻嘻～","2016-11-12 14:32:35"
"96","男生","研究生","租对象。。。","","2016-11-12 15:19:22"
"97","女生","大二","没想干嘛，只是觉得周末不知道干嘛！缺少动力，，，烦，谁来给我灌点毒鸡汤！！","私聊","2016-11-12 15:26:02"
"98","女生","大二","第一次许愿，灯神啊，我是北校西区的一个女生，我想找一个可以经常一起去自习的人。因为一个人好懒得动啊","报答嘛，一个朋友。。。。","2016-11-12 15:52:23"
"99","男生","大四","灯神啊灯神，我最近打算买手绘板..想学PS(画漫画)..但我没有一点点方向(一脸懵B)...Orz..有没有好心人分享点经验，救救我这个小懵B...","什么都答应!","2016-11-12 17:00:41"
"100","男生","研究生","灯神，我于12号下午午饭时间在东区清真饭堂门口捡到羊城通一张(逻辑表达还可以吧，灯灯)，看不出卡主的信息，有疑似失主的话，微信联系下我吧，谢谢","你丢失的羊城通呗！！！","2016-11-12 18:09:13"
"101","男生","大二","求一个大神带我这个萌新玩玩万智牌～是萌新也可以一起打啊 （主要身边没人玩啊）","一个一起玩的旅法师 hhh 你缺我有的卡可以给你呀","2016-11-12 18:32:37"
"102","女生","大三","灯灯，我受伤了，昨天明明想帮别人结果强行被拉黑了，看到他说想好好学习考证，我目前也是这个状态，不过已经考了计算机，想着可能他也考就给他推荐了我用的题库，因为我们宿舍都用这个备考了而且考试确实帮助很大，结果居然被拉黑了，不采纳建议也罢可是连句谢谢也没有吗？","希望他能学会说谢谢","2016-11-12 21:43:47"
"103","女生","大二","正装绒面高跟鞋一双，只穿过一次，超级舒服不刮后跟，鞋跟约3厘米高，走路超级稳，尖头高跟鞋更显秀气呢~因本人略高，想另买一双低跟点的，原价89元，现已低价49元出售","华工北校或广外北校区的童鞋，可提供送货上门~","2016-11-12 21:51:28"
"104","男生","大三","灯神啊灯神，我是华工计院一学渣，想找一个南校巴萨女球迷，因为一个萨米看球太孤单了，梅西小白再厉害我也找不到人诉说哎！","愿望实现了，我会请她看国家德比，看电影","2016-11-12 22:39:52"
"105","男生","大一","灯神啊灯神，我不是来找人的，我想问问现在社团还能收人吗？百团的时候没加社团现在好无聊啊_(:з」&ang;)_，我想加一个和（吃，找，做）美食有关的社团。有人收我吗？～(￣▽￣～)~对了，我是男生","绝对积极参加社团活动","2016-11-12 22:40:29"
"106","男生","大一","灯神啊灯神，我不是来找人的，我想问问现在社团还能收人吗？百团的时候没加社团现在好无聊啊_(:з」&ang;)_，我想加一个和（吃，找，做）美食有关的社团。有人收我吗？～(￣▽￣～)~对了，我是男生","绝对积极参加社团活动","2016-11-12 22:40:35"
"107","女生","大一","灯神啊灯神，我是一个南校女生，我想知道大学城有没有好的声乐培训机构或老师哇。因为大一时间比较充足，想学一些喜欢的东西(*^&omega;^*)","我们一起去吃好吃的哇（同时我也是一枚真正爱吃的小孩）Ｏ(≧▽≦)Ｏ ","2016-11-12 22:50:23"
"108","女生","大一","灯神灯神，我是附近学校大一萌妹纸 最近想学网球 希望有住在北区会打网球的人可以教下我 谢谢啦！","打完球一顿饭报答你.","2016-11-12 22:54:33"
"109","男生","大一","  一块跑步，泡图书馆吧，看电影也好咯。。。。。。。不想发图啦","","2016-11-12 23:08:02"
"110","男生","大一","灯神啊 我想要一块二手滑板 因为感觉某宝信不过 所以求南校小伙伴帮帮忙啦","一顿碎石","2016-11-12 23:36:50"
"111","男生","大三","万能的灯神，我是电院大三的一只工科狗，想找一个会写全英论文的小伙伴一起参加美赛，现在已经有了两个人了，缺一个会写论文的，有过建模经验的，希望有兴趣的小伙伴加一下我！","收获两个好队友，一起加油拿奖","2016-11-13 00:17:20"
"112","男生","大三","阿拉丁，我是个学武的男生，机械专业，大三，所以现在还没认识多少女生。我会给你足够的安全感，如果你需要。并且一如既往。","","2016-11-13 00:19:22"
"113","男生","大三","大三男，足够强大给你保护与安全感，不会让你失望，希望下年你我都不过双十一。","","2016-11-13 00:46:45"
"114","男生","大三","大三男，能给你保护与安全感，不会让你失望，希望你我不过下个双十一。","","2016-11-13 00:57:12"
"115","男生","博士","灯神啊 我是一个非典型工科博士（博一）  热爱生活 也偶尔沉迷于实验 最近心神不定 昨日做梦居然梦到我带着一个妹子在丧尸围城里求生 (真心鸭梨大!) 剧情很狗血 但最终我决定不再每天默默刷许愿墙 这次听从内心的召唤 勇敢报名脱单  希望能有机会遇到有颜有才的她","","2016-11-13 01:12:59"
"116","男生","大二","灯神啊灯神，我想跟人学学如何跟人聊天，如何跟人搭讪，因为今天去了亲戚家跟他家同龄的女生我也无话可说，可能真的是读书读久了就傻了吧，话真的越来越少，越来越不喜欢说话，觉得跟人聊天很无聊，你能教教我怎么跟不认识的人搭讪吗？我可以教你c渣渣高数（我们学的是工科数学分析）什么的，我这些都有九十的呢～（我觉得计算机比人更容易交流了，简单明了固定格式是非分明，是不是没救了╮（╯＿╰）╭）","可以问我c加加高数什么的，可以陪你泡馆跑步什么的（男生女生都可以教我聊天搭讪啊）","2016-11-13 01:48:02"
"117","男生","大二","单身有很多好处，但久了也会让人麻木，希望能找遇上有缘的妹子，或者一个走心朋友","","2016-11-13 01:48:50"
"118","女生","大二","钥匙掉了 有木有人可以告知一下北区附近有哪里可以配钥匙～～～","红包？？？","2016-11-13 09:48:17"
"119","男生","大一","灯神啊，我想找个妹子组队看你的名字。最好也是大一的啦。单身狗想看又怕被喂狗粮喂饱。正常情况看完即走，送回宿舍，绝无恶意。","请你看你的名字。","2016-11-13 10:05:45"
"120","男生","大一","我是一个特别宠女票特别喜欢制造浪漫的男人,想找一个能萌能成熟,自我感觉样子过得去的,160～170之间的女票,想带着她游遍玩遍吃遍整个广州,再到全世界你任何想去的地方去旅游


","","2016-11-13 10:36:56"
"121","男生","大二","喜欢看书运动游泳，喜欢成熟稳重的女生在一起，我不介意身高，不介意异地恋，合适就结婚，诚心就认识认识吧，其他的就别浪费彼此的时间了","","2016-11-13 10:41:37"
"122","女生","大二","最晚新声代的许锦辉，求微信号。他声音好好听啊，跑去酷狗听完了他的歌：白日梦想家、花好月圆、我被堵在爱情的死胡同、末日的诗、再见那年、逃离。     声控表示已被圈粉。跪求","请你吃饭吧哈哈哈。","2016-11-13 12:10:00"
"123","女生","大一","我是个计算机盲，，想找个伙伴带我做很简单很基础的计算机上机作业。","一个朋友。帮你介绍男朋友或女朋友啊","2016-11-13 12:48:06"
"124","女生","大二","数学好难阿我是一个数学智障:(
有人愿意教我题目吗:(","我可以教你英语或者经济金融类的东西","2016-11-13 14:18:17"
"125","男生","研究生","灯神帮我脱单吧！我是一个阳光开朗的理工男,爱运动爱学习，想找个爱笑单纯的长发女孩，我想和你一起做很多很多有意思的事情，生活有你更精彩(◍&bull;ᴗ&bull;◍)","","2016-11-13 14:40:12"
"126","女生","大二","一个静若处子动若脱兔美丽可爱温柔(?)善良的妹砸喜欢运动摇滚吃逛拍照进得了厨房出得了厅堂做不了数学写得一手好字 什么?你说这样的妹子没有男朋友? 是的你没有看错连她朋友都看不下去了 筒子看到了不要打死我 脱单成功给我一记么么哒就好了! 哦对了她(只)有一米六但是喜欢高帅的 这大概是她一直单身的理由吧","","2016-11-13 15:13:42"
"127","女生","大二","给我讲你的故事","告诉你我的一个故事","2016-11-13 15:40:11"
"128","女生","大三","灯神，晚上躺上床进了被窝之后才能好好享受一天之中真正属于自己的时间和空间，能来个人一边聊聊天一边酝酿睡意吗？？","有趣的故事分享？睡前的一句晚安？","2016-11-13 15:51:43"
"129","男生","大三","最近在做一个关于职业测评的项目，需要需要收集各大高校学生对于理想雇主的看法，想找一些同学帮我收集一下（线上测评，你只需把链接发给符号人群填就好），测评之后，会得出你自己的职业性格类型，并为你推荐理想的企业等等，欢迎感兴趣的同学前来骚扰","一份让你少吃几天土的报酬","2016-11-13 16:18:27"
"130","女生","大二","想找上周三晚王文梅老师中国传统文化概论的同学，因为实习没去上课，要做pre求组队，或者告诉下我之前讲过哪些吧ㅍ_ㅍ 比心","一个负责的队友","2016-11-13 16:52:33"
"131","男生","大三","博学楼315旁边捡到一台碎屏的白色努比亚手机，失主请尽快打给自己","一台手机","2016-11-13 17:03:39"
"132","女生","大一","灯神啊灯神！！！我是一个懒癌晚期患者，我想找一个能和我一起约学习的人，能督促我学习的人。女的可以做朋友，，男的也可以做朋友，哈哈/::&gt; ","成为朋友，互相激励！或者想要什么私聊","2016-11-13 17:33:13"
"133","男生","大四","灯神灯神我想知道华工附近哪里有卖这种竹子的地方？","你说","2016-11-13 18:17:18"
"134","女生","大一","灯神啊灯神，我是11月13日下午在图书馆电子阅览室下资源的女生。5.24的时候，因为要离开一会儿，就问坐在右手边的男生能不能可以帮我看一下东西，我大约20分钟回来。他说10分钟后就要离开了，于是，我请他帮我在他离开前看一下就好。路上有些耽误，我回到电子阅览室时已经过去30分钟了，可是男生还在那里，他已经做完了作业，看样子已经很久了。真的很感谢他，希望他可以看到，不一定要找到他，就是表达一下谢意，总觉得一句&ldquo;谢谢你&rdquo;太过单薄，但还是要再说一次：谢谢你，好心的男生~","无","2016-11-13 18:21:11"
"135","男生","大三","我是一个默默无名的路人甲，想寻找一个改变我生活，带给我生活动力的人，我们一起奔向未来。","我会给你弹奏一曲吉他","2016-11-13 19:01:34"
"136","男生","大三","灯神啊灯神，我想给在治愈系给我唱了《丝路》和《春雨里洗过的太阳》这两首歌的女生说声谢谢～里面没有联系方式啦，只能靠万能的灯神。听了歌给别人说谢谢是对她付出的肯定啦～我听到了！","谢谢给我唱歌的你～","2016-11-13 19:36:23"
"137","男生","大二","双11时有小米note2抢购，抱着玩玩的态度来抢一下，因为手机还能用，并不是真的想买手机。诶呦还真的抢到了，之前想买的时候总是抢不到，感觉老天真会作弄人。。。经过一番激烈的思想斗争后，决定先出钱买下来。手机拿到手后，这手感，这做工，让我感叹得久久回不过神来。这系统如此地流畅，这双曲屏如此地美，这手机表面如此地光滑，却已经紧紧地粘在我的手上，难以放下。我不禁觉得比机只应天上有，我这等凡人怎能有如此的福气去享用它，所以3000块钱出手，仅用了2天，没任何问题，只接受面对面交易","你给我钱，我给你机～～","2016-11-13 20:10:58"
"138","女生","研究生","我就想谈一场校园恋爱，简称黄！昏！恋！因为已经研三了，哭~~寻理工科男一枚，别问我为啥，因为我学文啊~有酒窝加加加分，别问我为啥，因为我没有啊~非研三及以上勿扰，别问为啥，因为我不喜欢姐弟恋~以上完。","","2016-11-13 20:53:56"
"139","男生","大三","灯神啊灯神，我想买一辆自行车，骑得不卡就行。价钱私聊~","价钱私聊~","2016-11-13 20:54:40"
"140","男生","大一","灯神啊灯神，我是南校大一的一个男生，在11月9号那天18:45左右，我邂逅了一位沿着图书馆旁边那条路往天桥方向走的女生，她穿的是卫衣，戴了卫衣的帽子，不高，好像不戴眼镜，我们对视了几秒，希望她本人或是认识她的人联系我，我想找到她","重谢，红包或者请吃饭，你说
","2016-11-13 21:16:09"
"141","女生","大四","今天zaca下午茶遇到一个超好看的lo娘，红色lo裙，算是full set，直接种草机&hellip;是双麻花辫的那位，希望能知道衣服的具体信息，谢谢啦","私下协商","2016-11-13 21:38:33"
"142","女生","大三","求周四晚上创新管理的通选的同学，16周就要考试了，因为很少去上课，错过了考试信息&Sigma;(っ &deg;Д &deg;;)っ，只知道好像要拷贝什么东西，希望能告诉要做些什么吗(ಥ_ಥ)","小礼物或者酸奶？","2016-11-13 22:44:58"
"143","女生","大一","灯神啊灯神，我在百团大战的时候和一位朋友一起加入了饮品协会，然而到现在还没有相关负责人拉我们进群或者通知社团活动的，希望有认识饮品协会的会员干事或者会长的能帮忙询问一下，感激不尽。","私下协商～～","2016-11-13 22:56:40"
